,0
1662,979
1663,923
1664,1065
1665,1128
1666,789
1667,936
1668,859
1669,896
1670,1251
1671,888
1672,867
1673,1095
1674,1105
1675,988
1676,1111
1677,1007
1678,951
1679,798
1680,1096
1681,1057
1682,1136
1683,961
1684,1156
1685,851
1686,1039
1687,1169
1688,1171
1689,1084
1690,1183
1691,1167
1692,998
1693,986
1694,1018
1695,1235
1696,1381
1697,945
1698,897
1699,1006
1700,875
1701,1293
1702,996
1703,1205
1704,976
1705,851
1706,972
1707,895
1708,1024
1709,1065
1710,1234
1711,733
1712,1049
1713,1248
1714,1027
1715,1083
1716,966
1717,875
1718,1190
1719,-661
1720,317
1721,-3576
1722,1098
1723,-2673
1724,939
1725,1148
1726,-1052
1727,872
1728,994
1729,1485
1730,1116
1731,1297
1732,1101
1733,-4406
1734,1072
1735,933
1736,981
1737,993
1738,788
1739,1149
1740,1138
1741,1199
1742,954
1743,932
1744,1254
1745,1217
1746,1171
1747,1243
1748,1050
1749,971
1750,1055
1751,1305
1752,971
1753,1188
1754,1085
1755,856
1756,933
1757,1310
1758,955
1759,1037
1760,1193
1761,744
1762,1118
1763,1342
1764,1122
1765,1227
1766,1113
1767,968
1768,1169
1769,973
1770,1065
1771,1310
1772,1055
1773,1160
1774,1224
1775,1032
1776,1272
1777,1042
1778,923
1779,1034
1780,1101
1781,1152
1782,1123
1783,984
1784,953
1785,1202
1786,1072
1787,855
1788,1290
1789,1128
1790,1404
1791,1270
1792,1258
1793,1178
1794,1596
1795,1336
1796,1182
1797,697
1798,1152
1799,880
1800,1166
1801,1247
1802,1154
1803,960
1804,1105
1805,1326
1806,1005
1807,1386
1808,1061
1809,1005
1810,1137
1811,1117
1812,1278
1813,1522
1814,1529
1815,1475
1816,1208
1817,898
1818,1130
1819,962
1820,1044
1821,1213
1822,1129
1823,1165
1824,1275
1825,1165
1826,1097
1827,981
1828,810
1829,1051
1830,836
1831,1191
1832,1218
1833,1192
1834,866
1835,1162
1836,877
1837,1199
1838,962
1839,1469
1840,1383
1841,865
1842,853
1843,1156
1844,885
1845,913
1846,845
1847,1039
1848,1111
1849,962
1850,909
1851,1266
1852,1009
1853,1066
1854,1194
1855,979
1856,1360
1857,1083
1858,925
1859,1178
1860,1200
1861,1333
1862,1260
1863,1144
1864,1092
1865,979
1866,1069
1867,698
1868,1094
1869,1276
1870,974
1871,1228
1872,916
1873,1391
1874,1022
1875,821
1876,972
1877,1249
1878,1107
1879,1232
1880,798
1881,1237
1882,1205
1883,1046
1884,979
1885,855
1886,1057
1887,1189
1888,949
1889,1185
1890,1270
1891,1376
1892,955
1893,1027
1894,802
1895,1133
1896,809
1897,1019
1898,1182
1899,767
1900,1074
1901,1221
1902,1109
1903,698
1904,917
1905,1240
1906,1239
1907,827
1908,-70
1909,1063
1910,1056
1911,1185
1912,1286
1913,1101
1914,960
1915,1029
1916,886
1917,1133
1918,1145
1919,543
1920,1248
1921,1029
1922,1080
1923,1018
1924,1138
1925,1583
1926,1600
1927,1156
1928,1157
1929,913
1930,1139
1931,1283
1932,1129
1933,1269
1934,1072
1935,1256
1936,1140
1937,1351
1938,720
1939,905
1940,915
1941,1001
1942,1190
1943,1125
1944,1045
1945,834
1946,1001
1947,1200
1948,1296
1949,1004
1950,1193
1951,1180
1952,1192
1953,1146
1954,1342
1955,870
1956,1024
1957,953
1958,919
1959,1270
1960,1295
1961,1037
1962,1185
1963,506
1964,1300
1965,1077
1966,1262
1967,1288
1968,1492
1969,1072
1970,1179
1971,1127
1972,1346
1973,1026
1974,908
1975,982
1976,1367
1977,1074
1978,1255
1979,909
1980,1304
1981,747
1982,1208
1983,860
1984,1202
1985,1201
1986,935
1987,773
1988,1045
1989,1053
1990,1251
1991,763
1992,1220
1993,1188
1994,1416
1995,1234
1996,1222
1997,1179
1998,977
1999,755
2000,1159
2001,1022
2002,1103
2003,1190
2004,947
2005,1106
2006,1171
2007,1303
2008,1106
2009,1339
2010,1100
2011,1130
2012,1280
2013,1084
2014,958
2015,965
2016,1087
2017,999
2018,982
2019,1141
2020,1020
2021,1041
2022,1108
2023,1131
2024,1016
2025,900
2026,-493
2027,967
2028,1157
2029,1072
2030,949
2031,1132
2032,1015
2033,1072
2034,1036
2035,1304
2036,1138
2037,1092
2038,1212
2039,1081
2040,1079
2041,876
2042,879
2043,1090
2044,1360
2045,689
2046,963
2047,1076
2048,888
2049,1038
2050,1032
2051,926
2052,1334
2053,1131
2054,503
2055,1248
2056,1085
2057,972
2058,958
2059,1031
2060,1021
2061,1168
2062,1054
2063,1178
2064,993
2065,1068
2066,871
2067,1029
2068,1111
2069,1053
2070,1582
2071,1155
2072,908
2073,1175
2074,803
2075,918
2076,1106
2077,839
2078,1008
2079,1107
2080,1153
2081,1091
2082,1198
2083,1147
2084,1173
2085,572
2086,998
2087,683
2088,1000
2089,893
2090,1272
2091,936
2092,1030
2093,1136
2094,910
2095,849
2096,1093
2097,1034
2098,1266
2099,1100
2100,957
2101,1162
2102,1428
2103,1353
2104,1161
2105,1168
2106,1320
2107,1075
2108,1141
2109,1324
2110,1026
2111,1100
2112,970
2113,1043
2114,1013
2115,994
2116,1022
2117,1240
2118,1083
2119,1325
2120,991
2121,1133
2122,1065
2123,1085
2124,1013
2125,976
2126,603
2127,1093
2128,1157
2129,1223
2130,974
2131,1005
2132,1076
2133,757
2134,966
2135,1062
2136,1061
2137,1105
2138,922
2139,757
2140,1104
2141,1018
2142,1039
2143,834
2144,1203
2145,969
2146,1261
2147,761
2148,1249
2149,960
2150,994
2151,722
2152,787
2153,1080
2154,1143
2155,1195
2156,908
2157,971
2158,1067
2159,1203
2160,1213
2161,1171
2162,1279
2163,1343
2164,717
2165,1262
2166,1065
2167,943
2168,1108
2169,944
2170,926
2171,966
2172,1260
2173,847
2174,1159
2175,875
2176,994
2177,845
2178,737
2179,826
2180,1086
2181,1038
2182,740
2183,791
2184,981
2185,931
2186,1139
2187,1225
2188,933
2189,1294
2190,980
2191,989
2192,989
2193,914
2194,763
2195,617
2196,1025
2197,965
2198,1167
2199,848
2200,978
2201,959
2202,1041
2203,883
2204,809
2205,1303
2206,1229
2207,1052
2208,1067
2209,865
2210,1127
2211,1122
2212,1072
2213,1000
2214,1080
2215,1163
2216,998
2217,955
2218,993
2219,954
2220,1006
2221,666
2222,808
2223,1036
2224,1093
2225,871
2226,1033
2227,1021
2228,437
2229,1206
2230,1113
2231,1235
2232,932
2233,896
2234,925
2235,1045
2236,1083
2237,1247
2238,780
2239,942
2240,1105
2241,753
2242,918
2243,632
2244,1218
2245,1004
2246,1128
2247,1109
2248,982
2249,974
2250,1052
2251,1110
2252,954
2253,1150
2254,993
2255,974
2256,1062
2257,896
2258,1065
2259,1259
2260,829
2261,947
2262,1180
2263,940
2264,-350
2265,1087
2266,726
2267,1248
2268,1023
2269,940
2270,996
2271,1151
2272,1021
2273,946
2274,943
2275,971
2276,867
2277,1290
2278,863
2279,888
2280,1326
2281,1220
2282,1062
2283,1068
2284,1163
2285,1042
2286,718
2287,1043
2288,1204
2289,1337
2290,1155
2291,1015
2292,1059
2293,1204
2294,-301
2295,-1375
2296,-27
2297,952
2298,1153
2299,983
2300,1026
2301,1042
2302,1084
2303,1054
2304,1082
2305,840
2306,1124
2307,967
2308,1263
2309,1054
2310,1101
2311,1074
2312,1096
2313,1102
2314,1255
2315,839
2316,1044
2317,1044
2318,906
2319,971
2320,1092
2321,979
2322,1193
2323,1107
2324,1336
2325,1193
2326,1242
2327,1190
2328,1073
2329,1206
2330,1223
2331,1223
2332,1050
2333,818
2334,989
2335,929
2336,1087
2337,1102
2338,1308
2339,1138
2340,1191
2341,1218
2342,997
2343,865
2344,983
2345,901
2346,1204
2347,1164
2348,1216
2349,1116
2350,1061
2351,999
2352,924
2353,1123
2354,1090
2355,956
2356,1372
2357,1095
2358,906
2359,1173
2360,889
2361,952
2362,1096
2363,675
2364,757
2365,928
2366,1028
2367,1200
2368,844
2369,1253
2370,1183
2371,1132
2372,1196
2373,1294
2374,1189
2375,940
2376,1096
2377,909
2378,1109
2379,943
2380,1146
2381,942
2382,979
2383,1012
2384,1252
2385,1046
2386,1152
2387,1023
2388,943
2389,709
2390,745
2391,1069
2392,1104
2393,1153
2394,974
2395,955
2396,1303
2397,916
2398,1052
2399,1184
2400,1136
2401,1221
2402,1169
2403,1123
2404,1040
2405,969
2406,1196
2407,1053
2408,1351
2409,1072
2410,1068
2411,1090
2412,1061
2413,1225
2414,1128
2415,1041
2416,1303
2417,1162
2418,762
2419,927
2420,857
2421,994
2422,1048
2423,1114
2424,1075
2425,919
2426,1249
2427,1097
2428,1018
2429,1056
2430,1078
2431,1075
2432,896
2433,1162
2434,1085
2435,992
2436,1095
2437,973
2438,1270
2439,1066
2440,1072
2441,1110
2442,907
2443,1010
2444,1106
2445,1153
2446,1168
2447,799
2448,1080
2449,1231
2450,1058
2451,1014
2452,1063
2453,1157
2454,1254
2455,1022
2456,1105
2457,971
2458,892
2459,1230
2460,1036
2461,1187
2462,728
2463,642
2464,977
2465,1198
2466,1283
2467,1243
2468,949
2469,950
2470,830
2471,936
2472,952
2473,834
2474,1027
2475,1017
2476,1276
2477,993
2478,991
2479,1078
2480,955
2481,898
2482,1034
2483,1046
2484,807
2485,1181
2486,1063
2487,837
2488,1036
2489,987
2490,1092
2491,1120
2492,1227
2493,1030
2494,1109
2495,1223
2496,992
2497,1250
2498,1159
2499,1234
2500,949
2501,1226
2502,991
2503,1067
2504,1086
2505,924
2506,857
2507,1080
2508,932
2509,885
2510,1024
2511,1330
2512,1073
2513,1195
2514,1000
2515,1076
2516,1094
2517,1120
2518,1018
2519,1036
2520,1043
2521,991
2522,1071
2523,1010
2524,1308
2525,994
2526,1092
2527,1049
2528,1318
2529,1074
2530,1124
2531,965
2532,1224
2533,939
2534,982
2535,1199
2536,981
2537,1143
2538,1095
2539,1373
2540,1118
2541,1102
2542,1088
2543,1354
2544,984
2545,968
2546,1201
2547,1123
2548,1071
2549,967
2550,1151
2551,1031
2552,1092
2553,959
2554,1072
2555,1263
2556,962
2557,1218
2558,1297
2559,782
2560,942
2561,885
2562,1177
2563,1202
2564,1150
2565,1126
2566,931
2567,-287
2568,1052
2569,1190
2570,1227
2571,1090
2572,984
2573,1054
2574,1008
2575,1068
2576,1120
2577,977
2578,1131
2579,1111
2580,1113
2581,884
2582,1122
2583,855
2584,1163
2585,1231
2586,1010
2587,1004
2588,968
2589,1100
2590,1259
2591,1083
2592,1104
2593,1095
2594,1158
2595,920
2596,1262
2597,1082
2598,730
2599,1134
2600,924
2601,1034
2602,973
2603,1049
2604,935
2605,1098
2606,1032
2607,667
2608,931
2609,991
2610,1190
2611,840
2612,985
2613,961
2614,1065
2615,977
2616,1325
2617,1072
2618,1148
2619,1040
2620,1000
2621,888
2622,996
2623,802
2624,810
2625,749
2626,988
2627,1140
2628,1030
2629,1034
2630,1038
2631,656
2632,891
2633,885
2634,1077
2635,1074
2636,787
2637,687
2638,828
2639,1105
2640,923
2641,1119
2642,883
