rate_dt,tenor,rate,value_dt
2010-07-07,180,4.092002192079661,2025-07-07
2010-07-07,360,3.26271485363291,2040-07-06
2010-07-08,0,0.4659337865885887,2010-07-09
2010-07-08,3,0.4659337865885887,2010-10-06
2010-07-08,6,0.5052292952461055,2011-01-05
2010-07-08,9,0.5868637319153558,2011-04-07
2010-07-08,12,0.7022882178880145,2011-07-08
2010-07-08,15,0.8441309472943122,2011-10-06
2010-07-08,18,1.0060588069972938,2012-01-05
2010-07-08,24,1.3693036599204405,2012-07-07
2010-07-08,36,2.147182086810566,2013-07-08
2010-07-08,48,2.868173085620336,2014-07-08
2010-07-08,60,3.4602365225789278,2015-07-08
2010-07-08,84,4.208817793755991,2017-07-08
2010-07-08,120,4.502630617031861,2020-07-07
2010-07-08,180,4.112125133579419,2025-07-08
2010-07-08,360,3.296227360100685,2040-07-07
2010-07-09,0,0.4663007346485674,2010-07-12
2010-07-09,3,0.4663007346485674,2010-10-07
2010-07-09,6,0.5229024964789615,2011-01-06
2010-07-09,9,0.6161065074206027,2011-04-08
2010-07-09,12,0.7384450020281608,2011-07-09
2010-07-09,15,0.8834663841468022,2011-10-07
2010-07-09,18,1.0456178781654466,2012-01-06
2010-07-09,24,1.4029756860229263,2012-07-08
2010-07-09,36,2.15632274873202,2013-07-09
2010-07-09,48,2.8502071057228324,2014-07-09
2010-07-09,60,3.420656329251414,2015-07-09
2010-07-09,84,4.14871633823376,2017-07-09
2010-07-09,120,4.450386808427718,2020-07-08
2010-07-09,180,4.0940619934414535,2025-07-09
2010-07-09,360,3.3058476845924933,2040-07-08
2010-07-12,0,0.4144493871874419,2010-07-13
2010-07-12,3,0.4144493871874419,2010-10-10
2010-07-12,6,0.480870685490439,2011-01-09
2010-07-12,9,0.5798981833792629,2011-04-11
2010-07-12,12,0.7050602442240812,2011-07-12
2010-07-12,15,0.8507261429110704,2011-10-10
2010-07-12,18,1.012013652784841,2012-01-09
2010-07-12,24,1.3651767733181082,2012-07-11
2010-07-12,36,2.1094244171433427,2013-07-12
2010-07-12,48,2.801452098420268,2014-07-12
2010-07-12,60,3.3789297656938606,2015-07-12
2010-07-12,84,4.136196798628495,2017-07-12
2010-07-12,120,4.471980139456212,2020-07-11
2010-07-12,180,4.077112183771836,2025-07-12
2010-07-12,360,3.0373392238107857,2040-07-11
2010-07-13,0,0.4124407330179914,2010-07-14
2010-07-13,3,0.4124407330179914,2010-10-11
2010-07-13,6,0.4825242969997587,2011-01-10
2010-07-13,9,0.5843646189030554,2011-04-12
2010-07-13,12,0.7116517951105952,2011-07-13
2010-07-13,15,0.8588925343265528,2011-10-11
2010-07-13,18,1.021320875286789,2012-01-10
2010-07-13,24,1.3758391185510144,2012-07-12
2010-07-13,36,2.120938855633588,2013-07-13
2010-07-13,48,2.813412289255296,2014-07-13
2010-07-13,60,3.392012718428441,2015-07-13
2010-07-13,84,4.1540214395004025,2017-07-13
2010-07-13,120,4.499357710357328,2020-07-12
2010-07-13,180,4.114597024946864,2025-07-13
2010-07-13,360,3.0718956907070702,2040-07-12
2010-07-14,0,0.4373206752969228,2010-07-15
2010-07-14,3,0.4373206752969228,2010-10-12
2010-07-14,6,0.5240785980804499,2011-01-11
2010-07-14,9,0.6376733118351132,2011-04-13
2010-07-14,12,0.7726204232335845,2011-07-14
2010-07-14,15,0.9241414281358252,2011-10-12
2010-07-14,18,1.0880875896778108,2012-01-11
2010-07-14,24,1.4394041898740904,2012-07-13
2010-07-14,36,2.163767099343388,2013-07-14
2010-07-14,48,2.8294306998600183,2014-07-14
2010-07-14,60,3.3834544952817582,2015-07-14
2010-07-14,84,4.113614724270023,2017-07-14
2010-07-14,120,4.449939373202374,2020-07-13
2010-07-14,180,4.08982928070334,2025-07-14
2010-07-14,360,3.0890144179979755,2040-07-13
2010-07-15,0,0.4521255079037646,2010-07-16
2010-07-15,3,0.4521255079037646,2010-10-13
2010-07-15,6,0.5442166965673196,2011-01-12
2010-07-15,9,0.6626555948182977,2011-04-14
2010-07-15,12,0.8019879451459591,2011-07-15
2010-07-15,15,0.9574645997835268,2011-10-13
2010-07-15,18,1.1249652743609917,2012-01-12
2010-07-15,24,1.482296228585648,2012-07-14
2010-07-15,36,2.215007929786528,2013-07-15
2010-07-15,48,2.885274162574862,2014-07-15
2010-07-15,60,3.441292065110842,2015-07-15
2010-07-15,84,4.170881743978454,2017-07-15
2010-07-15,120,4.50218968840211,2020-07-14
2010-07-15,180,4.134983471649637,2025-07-15
2010-07-15,360,3.130803621862161,2040-07-14
2010-07-16,0,0.4755684358867235,2010-07-19
2010-07-16,3,0.4755684358867235,2010-10-14
2010-07-16,6,0.5516137362972748,2011-01-13
2010-07-16,9,0.6571366242610683,2011-04-15
2010-07-16,12,0.7862062707531783,2011-07-16
2010-07-16,15,0.9336588155901256,2011-10-14
2010-07-16,18,1.0950138786397083,2012-01-13
2010-07-16,24,1.4444837987745434,2012-07-15
2010-07-16,36,2.172861859029626,2013-07-16
2010-07-16,48,2.845990626502604,2014-07-16
2010-07-16,60,3.406685422052712,2015-07-16
2010-07-16,84,4.1427659593905215,2017-07-16
2010-07-16,120,4.4728036279042405,2020-07-15
2010-07-16,180,4.093492389611813,2025-07-16
2010-07-16,360,3.0781355039900173,2040-07-15
2010-07-19,0,0.5261980780107443,2010-07-20
2010-07-19,3,0.5261980780107443,2010-10-17
2010-07-19,6,0.6065207596506426,2011-01-16
2010-07-19,9,0.7145720446325996,2011-04-18
2010-07-19,12,0.8447346693670403,2011-07-19
2010-07-19,15,0.9921153991684232,2011-10-17
2010-07-19,18,1.152466680900328,2012-01-16
2010-07-19,24,1.497902388560333,2012-07-18
2010-07-19,36,2.214048348585649,2013-07-19
2010-07-19,48,2.8741412973637805,2014-07-19
2010-07-19,60,3.423887867409792,2015-07-19
2010-07-19,84,4.147369070866256,2017-07-19
2010-07-19,120,4.477098867581018,2020-07-18
2010-07-19,180,4.114983927987867,2025-07-19
2010-07-19,360,3.1280417730688828,2040-07-18
2010-07-20,0,0.4913862653709219,2010-07-21
2010-07-20,3,0.4913862653709219,2010-10-18
2010-07-20,6,0.5577197989950902,2011-01-17
2010-07-20,9,0.6580454476319537,2011-04-19
2010-07-20,12,0.7852913633649714,2011-07-20
2010-07-20,15,0.933353202129716,2011-10-18
2010-07-20,18,1.0969822089860437,2012-01-17
2010-07-20,24,1.4536347568061387,2012-07-19
2010-07-20,36,2.1964295604635438,2013-07-20
2010-07-20,48,2.8746944927687865,2014-07-20
2010-07-20,60,3.4294443557873264,2015-07-20
2010-07-20,84,4.134050207651189,2017-07-20
2010-07-20,120,4.424329454562415,2020-07-19
2010-07-20,180,4.08440188801276,2025-07-20
2010-07-20,360,3.345865674116061,2040-07-19
2010-07-21,0,0.4726265422330731,2010-07-22
2010-07-21,3,0.4726265422330731,2010-10-19
2010-07-21,6,0.5242413512509139,2011-01-18
2010-07-21,9,0.6149489804764483,2011-04-20
2010-07-21,12,0.7367043095369596,2011-07-21
2010-07-21,15,0.8825750361782791,2011-10-19
2010-07-21,18,1.0466107828054518,2012-01-18
2010-07-21,24,1.4095973709641778,2012-07-20
2010-07-21,36,2.17587012424669,2013-07-21
2010-07-21,48,2.879158562723668,2014-07-21
2010-07-21,60,3.4533846592064563,2015-07-21
2010-07-21,84,4.17534424730553,2017-07-21
2010-07-21,120,4.455817749824115,2020-07-20
2010-07-21,180,4.081594489522256,2025-07-21
2010-07-21,360,3.316385875879488,2040-07-20
2010-07-22,0,0.4697056702842599,2010-07-23
2010-07-22,3,0.4697056702842599,2010-10-20
2010-07-22,6,0.5107123693255675,2011-01-19
2010-07-22,9,0.5957429986062293,2011-04-21
2010-07-22,12,0.7156744995450519,2011-07-22
2010-07-22,15,0.8626720959485481,2011-10-20
2010-07-22,18,1.030033997609208,2012-01-19
2010-07-22,24,1.403895181728775,2012-07-21
2010-07-22,36,2.1975494404007176,2013-07-22
2010-07-22,48,2.9239608624014517,2014-07-22
2010-07-22,60,3.5118908669690296,2015-07-22
