Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?node=9689726,,,,,,,,,,,,,,
,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_10Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_15Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_1Y6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_2Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_30Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_3Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_4Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_5Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_7Y,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.IF_9M
11/03/2019,0.936325,1.17658,-0.571957,-0.565131,-0.552304,-0.507694,1.22977,-0.567818,-0.350781,-0.135034,0.100285,-0.571452,0.526867,-0.573585
08/03/2019,0.940096,1.169541,-0.572545,-0.563979,-0.548918,-0.499248,1.219548,-0.567117,-0.333427,-0.112983,0.122875,-0.572716,0.54323,-0.575111
07/03/2019,0.984934,1.225858,-0.579832,-0.572909,-0.55947,-0.512288,1.277728,-0.572748,-0.346532,-0.119998,0.125539,-0.577888,0.566818,-0.581014
06/03/2019,1.017767,1.227882,-0.55358,-0.54277,-0.52543,-0.470477,1.268429,-0.558756,-0.290712,-0.054803,0.194089,-0.559559,0.62698,-0.558665
05/03/2019,1.052661,1.252923,-0.549936,-0.533908,-0.51132,-0.446434,1.29074,-0.567848,-0.251341,-0.00708,0.244464,-0.565249,0.673193,-0.559975
04/03/2019,1.059208,1.257094,-0.544799,-0.528591,-0.505656,-0.439807,1.294226,-0.561349,-0.242712,0.002809,0.254712,-0.559632,0.682385,-0.554771
01/03/2019,1.095142,1.287015,-0.544966,-0.524956,-0.497984,-0.424043,1.322446,-0.568715,-0.213318,0.040799,0.296764,-0.565658,0.724361,-0.558263
28/02/2019,1.055353,1.243914,-0.555362,-0.53757,-0.512526,-0.441783,1.278525,-0.569946,-0.235844,0.014559,0.267341,-0.570456,0.689703,-0.566082
27/02/2019,1.028627,1.222532,-0.565634,-0.553234,-0.533231,-0.471136,1.258024,-0.564089,-0.276088,-0.029331,0.22437,-0.569663,0.653713,-0.570785
26/02/2019,0.98269,1.177643,-0.574555,-0.56474,-0.547846,-0.492539,1.213111,-0.572627,-0.309635,-0.070806,0.178798,-0.576546,0.606335,-0.578005
25/02/2019,0.984412,1.177538,-0.577327,-0.569972,-0.554858,-0.501474,1.212058,-0.562869,-0.318198,-0.076574,0.176052,-0.571931,0.607389,-0.577531
22/02/2019,0.976873,1.17095,-0.588989,-0.580967,-0.565507,-0.511998,1.205582,-0.58006,-0.329181,-0.087729,0.165249,-0.586484,0.59804,-0.590318
21/02/2019,1.011109,1.194573,-0.582449,-0.571966,-0.553072,-0.49132,1.226451,-0.568938,-0.292775,-0.041377,0.215405,-0.579659,0.644513,-0.584732
20/02/2019,0.979995,1.170416,-0.59567,-0.590338,-0.5768,-0.525182,1.203342,-0.573454,-0.340877,-0.094876,0.162739,-0.585205,0.600986,-0.593466
19/02/2019,0.995476,1.186735,-0.595169,-0.588379,-0.573758,-0.520665,1.219647,-0.581407,-0.334481,-0.086766,0.172631,-0.589422,0.613985,-0.594955
18/02/2019,1.00104,1.184886,-0.586423,-0.584316,-0.573822,-0.526818,1.214507,-0.559078,-0.344404,-0.093327,0.171561,-0.570956,0.620366,-0.581254
15/02/2019,0.97503,1.151847,-0.583458,-0.580982,-0.570132,-0.522676,1.179962,-0.556241,-0.341105,-0.093191,0.167049,-0.568377,0.605619,-0.578579
14/02/2019,0.954148,1.129772,-0.586027,-0.585092,-0.575799,-0.531286,1.157507,-0.555393,-0.354297,-0.109234,0.14933,-0.568313,0.586163,-0.579714
13/02/2019,1.018987,1.192315,-0.578017,-0.574171,-0.562001,-0.511638,1.218818,-0.55788,-0.32261,-0.066377,0.201124,-0.566762,0.648113,-0.574763
12/02/2019,1.024886,1.193363,-0.59172,-0.590817,-0.580118,-0.529541,1.218334,-0.549741,-0.333737,-0.069231,0.204507,-0.568555,0.656366,-0.583665
11/02/2019,0.988261,1.187874,-0.59951,-0.596142,-0.582886,-0.52923,1.224988,-0.55054,-0.339163,-0.090415,0.167368,-0.576123,0.604964,-0.592754
08/02/2019,0.946973,1.143029,-0.614895,-0.614604,-0.603557,-0.552625,1.179487,-0.547946,-0.365029,-0.11812,0.137361,-0.581429,0.569667,-0.603885
07/02/2019,0.974679,1.163998,-0.611808,-0.607762,-0.593004,-0.53512,1.198494,-0.554975,-0.33673,-0.083645,0.174192,-0.585459,0.604554,-0.604475
06/02/2019,1.008264,1.18164,-0.591259,-0.579653,-0.55796,-0.488276,1.211884,-0.559774,-0.274698,-0.01611,0.240435,-0.581515,0.658456,-0.592024
05/02/2019,1.03627,1.201158,-0.614018,-0.599719,-0.573867,-0.493652,1.229357,-0.573041,-0.258962,0.014067,0.27763,-0.601993,0.695788,-0.615247
04/02/2019,1.032332,1.201282,-0.617975,-0.605135,-0.580853,-0.503689,1.230316,-0.575199,-0.273293,-0.001608,0.262827,-0.604069,0.685556,-0.618019
01/02/2019,1.013896,1.186926,-0.622868,-0.610248,-0.586942,-0.512983,1.216947,-0.58794,-0.289877,-0.023305,0.238837,-0.61227,0.662402,-0.623793
31/01/2019,1.003553,1.17552,-0.606991,-0.592076,-0.567998,-0.495413,1.205093,-0.594563,-0.279745,-0.020649,0.236127,-0.607971,0.654342,-0.6123
30/01/2019,1.035997,1.203244,-0.606323,-0.589246,-0.56226,-0.482839,1.231732,-0.590923,-0.254233,0.013369,0.274129,-0.607538,0.69221,-0.612617
29/01/2019,1.064763,1.234046,-0.619247,-0.603173,-0.575924,-0.493555,1.263054,-0.58794,-0.255229,0.021825,0.289807,-0.612674,0.716263,-0.622807
28/01/2019,1.066685,1.232249,-0.630253,-0.613005,-0.584153,-0.498014,1.260405,-0.596931,-0.252719,0.028558,0.298053,-0.623641,0.722904,-0.634303
25/01/2019,1.056416,1.196793,-0.631343,-0.617453,-0.592306,-0.512283,1.215943,-0.603344,-0.269389,0.018894,0.296921,-0.62377,0.727753,-0.633425
24/01/2019,1.07029,1.219463,-0.630398,-0.621294,-0.60105,-0.529841,1.239863,-0.595418,-0.296875,-0.008495,0.275751,-0.616018,0.72378,-0.628357
23/01/2019,1.127691,1.266601,-0.644259,-0.62928,-0.601432,-0.512948,1.285024,-0.603468,-0.248887,0.05841,0.350277,-0.631616,0.795108,-0.645249
22/01/2019,1.130455,1.268033,-0.647032,-0.63104,-0.602195,-0.511871,1.286181,-0.608902,-0.2451,0.063557,0.355758,-0.636287,0.799716,-0.649011
21/01/2019,1.161797,1.299536,-0.646356,-0.630018,-0.600181,-0.506701,1.317633,-0.602396,-0.232195,0.083196,0.380213,-0.633245,0.82915,-0.647772
18/01/2019,1.151794,1.287837,-0.653283,-0.637138,-0.60732,-0.513574,1.305582,-0.606856,-0.238272,0.077467,0.374222,-0.638945,0.82158,-0.654256
17/01/2019,1.13776,1.274837,-0.653676,-0.640574,-0.613686,-0.525065,1.292595,-0.599674,-0.256236,0.057317,0.354371,-0.633711,0.80456,-0.651672
16/01/2019,1.1389,1.279811,-0.660821,-0.648992,-0.623615,-0.537997,1.298126,-0.607838,-0.27281,0.040877,0.340552,-0.640264,0.798032,-0.658064
15/01/2019,1.118353,1.259897,-0.669899,-0.659272,-0.635355,-0.55284,1.278226,-0.617565,-0.292639,0.018525,0.317516,-0.648699,0.7759,-0.666423
14/01/2019,1.107939,1.244934,-0.658775,-0.647442,-0.622936,-0.539709,1.262455,-0.608681,-0.280085,0.028345,0.323436,-0.639131,0.7737,-0.656077
11/01/2019,1.109521,1.245064,-0.651763,-0.637484,-0.611058,-0.526091,1.262293,-0.620455,-0.267234,0.03871,0.331344,-0.642501,0.778033,-0.653365
10/01/2019,1.129204,1.260745,-0.65345,-0.636742,-0.607455,-0.516394,1.277223,-0.622952,-0.247242,0.064497,0.359032,-0.646316,0.803468,-0.656718
09/01/2019,1.160959,1.285338,-0.643144,-0.622357,-0.589034,-0.4904,1.30033,-0.623817,-0.209602,0.108351,0.404547,-0.64379,0.844768,-0.650414
08/01/2019,1.167833,1.289233,-0.643317,-0.619177,-0.583043,-0.480135,1.303669,-0.638277,-0.194766,0.124332,0.419773,-0.652661,0.856407,-0.654567
07/01/2019,1.15036,1.273284,-0.657661,-0.63842,-0.606097,-0.508208,1.287873,-0.629363,-0.226022,0.094468,0.392784,-0.653153,0.834813,-0.662733
04/01/2019,1.136924,1.259894,-0.669942,-0.650486,-0.61829,-0.521144,1.274409,-0.646771,-0.240542,0.079285,0.377702,-0.667777,0.820622,-0.675774
03/01/2019,1.093696,1.234392,-0.70444,-0.682256,-0.645059,-0.536811,1.256021,-0.646708,-0.245521,0.067933,0.352964,-0.690457,0.776123,-0.708375
02/01/2019,1.064265,1.200484,-0.71959,-0.69686,-0.659054,-0.549689,1.221189,-0.661803,-0.257513,0.054775,0.337231,-0.706027,0.753982,-0.723897
28/12/2018,1.174153,1.30012,-0.671932,-0.624723,-0.571417,-0.447654,1.316174,-0.785056,-0.153001,0.15763,0.441894,-0.750347,0.864823,-0.713413
27/12/2018,1.148226,1.27068,-0.670341,-0.623581,-0.570917,-0.448801,1.286068,-0.784193,-0.158097,0.148422,0.428768,-0.748769,0.845086,-0.711641
21/12/2018,1.114722,1.277838,-0.672182,-0.613136,-0.547999,-0.405618,1.311876,-0.792411,-0.10381,0.18353,0.4346,-0.764183,0.809732,-0.72326
20/12/2018,1.079646,1.253941,-0.658948,-0.598995,-0.534122,-0.394801,1.298517,-0.792225,-0.104298,0.170569,0.411296,-0.757542,0.775019,-0.712408
19/12/2018,1.120736,1.29899,-0.660435,-0.600584,-0.535337,-0.394181,1.343625,-0.789434,-0.097463,0.184771,0.432541,-0.756966,0.807281,-0.713212
18/12/2018,1.136982,1.316417,-0.668327,-0.608121,-0.542309,-0.399564,1.36063,-0.796548,-0.098731,0.187797,0.43939,-0.764714,0.819656,-0.721195
17/12/2018,1.162266,1.346202,-0.667158,-0.607629,-0.542151,-0.399264,1.391577,-0.790669,-0.095991,0.194374,0.450135,-0.760924,0.837806,-0.71895
14/12/2018,1.176145,1.358659,-0.671208,-0.618504,-0.558046,-0.420938,1.398732,-0.759672,-0.11826,0.178464,0.442354,-0.744468,0.843417,-0.714023
13/12/2018,1.130725,1.281597,-0.65759,-0.606022,-0.546184,-0.409453,1.306141,-0.73707,-0.107148,0.186876,0.444966,-0.726092,0.827936,-0.698532
12/12/2018,1.118307,1.258206,-0.646926,-0.594738,-0.53434,-0.396768,1.278318,-0.72816,-0.094235,0.198082,0.452995,-0.716673,0.82752,-0.688505
11/12/2018,1.118749,1.261826,-0.66854,-0.622285,-0.566311,-0.433974,1.279584,-0.720034,-0.132321,0.165616,0.428213,-0.720782,0.816698,-0.70241
10/12/2018,1.113088,1.269375,-0.639294,-0.589707,-0.532027,-0.399875,1.298861,-0.71476,-0.106564,0.179966,0.432588,-0.704692,0.810131,-0.678507
07/12/2018,1.188361,1.348527,-0.670632,-0.625138,-0.569316,-0.435758,1.372555,-0.715288,-0.127333,0.180578,0.454254,-0.719171,0.863685,-0.703045
06/12/2018,1.159657,1.313031,-0.701013,-0.662435,-0.611735,-0.484242,1.329666,-0.710231,-0.17745,0.135145,0.414812,-0.72883,0.832866,-0.724354
05/12/2018,1.210605,1.365581,-0.685713,-0.645112,-0.592413,-0.461046,1.38216,-0.700942,-0.147251,0.171147,0.45541,-0.71757,0.879605,-0.711082
04/12/2018,1.23482,1.391413,-0.68546,-0.644025,-0.5904,-0.457008,1.408132,-0.70232,-0.13895,0.183435,0.471101,-0.718588,0.900176,-0.711542
03/12/2018,1.278627,1.436654,-0.676958,-0.634915,-0.580392,-0.444579,1.452486,-0.69311,-0.120423,0.208244,0.501467,-0.710129,0.938515,-0.703286
30/11/2018,1.279689,1.442909,-0.679137,-0.637726,-0.583808,-0.449071,1.461529,-0.693429,-0.126354,0.20188,0.49552,-0.711036,0.934971,-0.704823
29/11/2018,1.298183,1.461038,-0.67445,-0.6276,-0.569233,-0.428034,1.481738,-0.712682,-0.099207,0.229945,0.522189,-0.720848,0.957369,-0.706722
28/11/2018,1.326897,1.483185,-0.660066,-0.610012,-0.548723,-0.40252,1.501142,-0.709519,-0.066797,0.265822,0.559065,-0.713693,0.992114,-0.69582
27/11/2018,1.315477,1.467502,-0.664911,-0.616509,-0.556435,-0.411675,1.482785,-0.705667,-0.076549,0.256602,0.550375,-0.713493,0.983242,-0.698472
26/11/2018,1.325858,1.470215,-0.651359,-0.600465,-0.538216,-0.390006,1.482787,-0.701559,-0.051099,0.282675,0.575028,-0.705908,1.002275,-0.687738
23/11/2018,1.303423,1.451043,-0.666363,-0.619095,-0.559864,-0.416163,1.464305,-0.701124,-0.081832,0.250998,0.544253,-0.711482,0.975113,-0.698422
22/11/2018,1.350326,1.504648,-0.653475,-0.600638,-0.536838,-0.386383,1.522728,-0.712967,-0.044839,0.290843,0.585302,-0.713511,1.017918,-0.692291
21/11/2018,1.335258,1.490252,-0.657505,-0.603184,-0.538384,-0.387057,1.510331,-0.725365,-0.046618,0.286276,0.577685,-0.72235,1.005596,-0.698383
20/11/2018,1.324788,1.478923,-0.6707,-0.620377,-0.558604,-0.411036,1.49663,-0.718742,-0.072165,0.263029,0.557858,-0.723867,0.991609,-0.706423
19/11/2018,1.364071,1.516538,-0.658028,-0.604036,-0.538981,-0.385889,1.533806,-0.719731,-0.03936,0.300209,0.597275,-0.719826,1.032085,-0.69784
16/11/2018,1.354105,1.492622,-0.678666,-0.63091,-0.570076,-0.420873,1.49836,-0.704641,-0.071443,0.276277,0.58126,-0.720059,1.024654,-0.709776
15/11/2018,1.347056,1.486953,-0.683144,-0.636314,-0.576277,-0.428326,1.493262,-0.705402,-0.080349,0.266866,0.5719,-0.722231,1.016129,-0.713181
14/11/2018,1.38125,1.507618,-0.654337,-0.599587,-0.532782,-0.374365,1.510751,-0.708273,-0.015243,0.334124,0.636075,-0.713123,1.067948,-0.693547
13/11/2018,1.35299,1.48272,-0.653795,-0.598766,-0.532215,-0.375474,1.489903,-0.713198,-0.022168,0.320708,0.617053,-0.715287,1.041946,-0.693949
12/11/2018,1.338357,1.461048,-0.663032,-0.608986,-0.54298,-0.386426,1.464674,-0.715436,-0.03183,0.312483,0.609419,-0.720705,1.032758,-0.701637
09/11/2018,1.360787,1.47279,-0.652904,-0.595646,-0.526542,-0.364336,1.472004,-0.714758,-0.001315,0.347425,0.645486,-0.717018,1.065074,-0.694759
08/11/2018,1.399338,1.503046,-0.641416,-0.581448,-0.509534,-0.341726,1.497986,-0.709592,0.031068,0.386593,0.688428,-0.710195,1.109041,-0.685773
07/11/2018,1.386255,1.498984,-0.636885,-0.576639,-0.505086,-0.339306,1.499782,-0.71185,0.027169,0.376571,0.674075,-0.708946,1.091848,-0.682353
06/11/2018,1.378002,1.491079,-0.660081,-0.600578,-0.529389,-0.363482,1.491223,-0.729623,0.005248,0.357862,0.658469,-0.729166,1.08076,-0.704342
05/11/2018,1.376512,1.469667,-0.670346,-0.616077,-0.54804,-0.383905,1.456905,-0.705887,-0.009008,0.35315,0.661359,-0.720501,1.088587,-0.706763
02/11/2018,1.375013,1.472503,-0.669157,-0.610151,-0.538618,-0.37038,1.464531,-0.72904,0.005453,0.364166,0.668027,-0.733539,1.088932,-0.711798
01/11/2018,1.339543,1.456155,-0.666375,-0.606409,-0.535389,-0.371203,1.460553,-0.74276,-0.008879,0.336439,0.630693,-0.738918,1.045009,-0.711883
31/10/2018,1.314063,1.450949,-0.664877,-0.604156,-0.533698,-0.373302,1.467638,-0.755918,-0.023051,0.310823,0.597449,-0.744592,1.008409,-0.712865
30/10/2018,1.311661,1.453904,-0.67789,-0.616259,-0.545153,-0.384008,1.473301,-0.774053,-0.033324,0.300765,0.587968,-0.760523,1.001322,-0.727124
29/10/2018,1.333222,1.467059,-0.669041,-0.605633,-0.532645,-0.367695,1.48227,-0.768866,-0.010422,0.327954,0.617098,-0.754522,1.029348,-0.719855
