period,fixed_period,interest
2017-04-01,>10 years,2.89
2017-05-01,1>5 years,2.09
2017-05-01,5>10 years,2.33
2017-05-01,<= 1 year,1.8
2017-05-01,>10 years,2.9
2017-06-01,1>5 years,2.13
2017-06-01,5>10 years,2.3
2017-06-01,<= 1 year,1.79
2017-06-01,>10 years,2.95
2017-07-01,1>5 years,2.16
2017-07-01,5>10 years,2.29
2017-07-01,<= 1 year,1.84
2017-07-01,>10 years,2.97
2017-08-01,1>5 years,2.13
2017-08-01,5>10 years,2.27
2017-08-01,<= 1 year,1.88
2017-08-01,>10 years,2.97
2017-09-01,1>5 years,2.12
2017-09-01,5>10 years,2.29
2017-09-01,<= 1 year,1.86
2017-09-01,>10 years,2.97
2017-10-01,1>5 years,2.12
2017-10-01,5>10 years,2.28
2017-10-01,<= 1 year,1.82
2017-10-01,>10 years,3.01
2017-11-01,1>5 years,2.13
2017-11-01,5>10 years,2.33
2017-11-01,<= 1 year,1.88
2017-11-01,>10 years,2.99
2017-12-01,1>5 years,2.13
2017-12-01,5>10 years,2.31
2017-12-01,<= 1 year,1.84
2017-12-01,>10 years,2.93
2018-01-01,1>5 years,2.08
2018-01-01,5>10 years,2.29
2018-01-01,<= 1 year,1.82
2018-01-01,>10 years,2.88
2018-02-01,1>5 years,2.07
2018-02-01,5>10 years,2.34
2018-02-01,<= 1 year,1.83
2018-02-01,>10 years,2.91
2018-03-01,1>5 years,2.09
2018-03-01,5>10 years,2.33
2018-03-01,<= 1 year,1.83
2018-03-01,>10 years,2.89
2018-04-01,1>5 years,2.08
2018-04-01,5>10 years,2.33
2018-04-01,<= 1 year,1.81
2018-04-01,>10 years,2.88
2018-05-01,1>5 years,2.08
2018-05-01,5>10 years,2.35
2018-05-01,<= 1 year,1.82
2018-05-01,>10 years,2.84
2018-06-01,1>5 years,2.08
2018-06-01,5>10 years,2.42
2018-06-01,<= 1 year,1.81
2018-06-01,>10 years,2.82
2018-07-01,1>5 years,2.05
2018-07-01,5>10 years,2.39
2018-07-01,<= 1 year,1.8
2018-07-01,>10 years,2.76
2018-08-01,1>5 years,2.02
2018-08-01,5>10 years,2.37
2018-08-01,<= 1 year,1.81
2018-08-01,>10 years,2.74
2018-09-01,1>5 years,2.05
2018-09-01,5>10 years,2.36
2018-09-01,<= 1 year,1.79
2018-09-01,>10 years,2.75
2018-10-01,1>5 years,2.05
2018-10-01,5>10 years,2.37
2018-10-01,<= 1 year,1.78
2018-10-01,>10 years,2.79
2018-11-01,1>5 years,2.08
2018-11-01,5>10 years,2.39
2018-11-01,<= 1 year,1.8
2018-11-01,>10 years,2.8
2018-12-01,1>5 years,2.06
2018-12-01,5>10 years,2.37
2018-12-01,<= 1 year,1.8
2018-12-01,>10 years,2.77
2019-01-01,1>5 years,2.05
2019-01-01,5>10 years,2.37
2019-01-01,<= 1 year,1.8
2019-01-01,>10 years,2.77
2019-02-01,1>5 years,2.1
2019-02-01,5>10 years,2.4
2019-02-01,<= 1 year,1.81
2019-02-01,>10 years,2.8
2019-03-01,1>5 years,2.08
2019-03-01,5>10 years,2.4
2019-03-01,<= 1 year,1.82
2019-03-01,>10 years,2.85
2019-04-01,1>5 years,2.05
2019-04-01,5>10 years,2.34
